GEOID,Tract,PEWhite,PEBlack,PENative,PEAsian,PEHIPI,PEHispanic,GiniE,MedincE,PEpubasst,PEnopubasst,PENoCollege,PECollege,PEUnder18,PE18t24,PE25t34,PE35t34,PE45t54,PE55t64,PE65t74,PE75over,PEFemale,PEMale
46001,ZCTA5 46001,0.9768838186730712,0.0028019613729610726,4.002801961372961e-4,0,0,0.013209246472530772,0.3919,55263,0.017471487503033244,0.9825285124969667,0.12803197353914003,0.2508269018743109,0.21024717302111479,0.06364455118583008,0.111177824477134,0.10057039927949565,0.16131291904333034,0.13549484639247472,0.12238566996897829,0.09516661663164215,0.5004503152206544,0.4995496847793455
46011,ZCTA5 46011,0.7991094967484914,0.13380983068721072,0,0.004921202179389537,0,0.03538578709942,0.4028,60163,0.0314844784463734,0.9685155215536266,0.09515260323159784,0.3355638975028562,0.20938543558497863,0.07270490362645732,0.11424219345011424,0.12841994258597458,0.1217411681996602,0.13720780362059876,0.12256136856289179,0.0937371843693245,0.5320171070361474,0.4679828929638526
46012,ZCTA5 46012,0.8574674341108754,0.06578814500656367,0.0032313440371604563,0.009744521862062,0,0.0323639301221852,0.4253,47389,0.04221924808370848,0.9577807519162915,0.1063222596224206,0.3349187765256842,0.17267494698576188,0.1373321215793194,0.11481369282035747,0.10860345349893971,0.11082500252448753,0.1365747753206099,0.1264768252044835,0.0926991820660406,0.5298899323437343,0.4701100676562658
46013,ZCTA5 46013,0.8492647058823529,0.05923202614379085,0.0035014005602240898,0.011029411764705883,0,0.027019140989729226,0.4464,41584,0.02359026113283714,0.9764097388671629,0.08224252901951098,0.24779781015888697,0.2156279178338002,0.07551353874883286,0.1422735760971055,0.10702614379084967,0.1070845004668534,0.1373716153127918,0.12645891690009337,0.0886437908496732,0.5270191409897292,0.47298085901027076
46016,ZCTA5 46016,0.6568214562783996,0.20519782777346782,0.0011636927851047323,0.005153496619749529,0,0.09741771029591045,0.4326,29229,0.07218410520297312,0.9278158947970269,0.23230275384355464,0.15458692346680183,0.24614873102072482,0.09786102183309321,0.1597583952122354,0.13277180538623518,0.12822786213011195,0.1264546159813809,0.06466807048653442,0.04410949794968414,0.497506372603347,0.502493627396653
46017,ZCTA5 46017,0.9186446508427932,0.03973168214654283,0.0013759889920880633,0.0025799793601651187,0,0.03233574131406949,0.3474,57667,0.028126352228472522,0.9718736477715275,0.08241758241758242,0.32017982017982016,0.21637426900584794,0.09494324045407637,0.0825593395252838,0.1262469900240798,0.17440660474716202,0.1197110423116615,0.1021671826625387,0.08359133126934984,0.5146198830409356,0.4853801169590643
46030,ZCTA5 46030,0.970785762256548,0.005036937541974479,0,0.0020147750167897917,0,0.019811954331766288,0.4234,59975,0.022406639004149378,0.9775933609958506,0.0778727445394112,0.2611585944919278,0.18871725990597715,0.10409670920080591,0.09200805910006717,0.07219610476830088,0.15077233042310276,0.187038280725319,0.11584956346541303,0.0893216924110141,0.5151108126259234,0.48488918737407655
46031,ZCTA5 46031,0.97643362136685,0.0015710919088766694,0,0.0019638648860958365,0,0.01728201099764336,0.36870000000000003,85092,0.006269592476489028,0.9937304075235109,0.054617117117117114,0.3108108108108108,0.21602513747054203,0.08641005498821681,0.12529457973291439,0.12450903377847604,0.1959937156323645,0.1190102120974077,0.05145326001571092,0.08130400628436764,0.4956794972505892,0.5043205027494109
46032,ZCTA5 46032,0.8008574033481407,0.02822447673178018,0.008457643886636534,0.09326686194254234,3.8796531590075845e-4,0.04298655700180404,0.4981,101526,0.005639934695492999,0.994360065304507,0.028034108164934003,0.7461745123233268,0.2536129270043258,0.08211285911039554,0.11768927857849508,0.14703885472638747,0.13691295998137767,0.13541929351515974,0.07336424123683342,0.053849585847025275,0.5201644972939419,0.47983550270605807
46033,ZCTA5 46033,0.8643110266550255,0.014893944841045658,6.676595963227363e-4,0.0688202968517282,0,0.0345642237173232,0.3952,135087,0.004889272361230946,0.9951107276387691,0.0075716603569497025,0.793479100672178,0.27551230034410146,0.059755533870884905,0.07403317754609419,0.14796363823121567,0.16373067639052952,0.1304760926506086,0.0964768116686354,0.052051769297930255,0.5153818499306662,0.4846181500693339
