GEOID,Tract,PEWhite,PEBlack,PENative,PEAsian,PEHIPI,PEHispanic,GiniE,MedincE,PEpubasst,PEnopubasst,PENoCollege,PECollege,PEUnder18,PE18t24,PE25t34,PE35t44,PE45t54,PE55t64,PE65t74,PE75over,PEFemale,PEMale
17031010100,"Census Tract 101, Cook County, Illinois",0.4029136768862796,0.4446618830180474,0,0.010002174385736029,0,0.11372037399434659,0.5135,32474,0.03597122302158273,0.9640287769784173,0.11721159777914868,0.5101789019123998,0.19852141769949988,0.09654272667971298,0.17938682322243965,0.17134159599913024,0.12959338986736246,0.16416612307023265,0.046314416177429873,0.014133507284192215,0.48032180908893235,0.5196781909110676
17031010201,"Census Tract 102.01, Cook County, Illinois",0.3122736418511066,0.3327967806841046,0.002012072434607646,0.038497652582159626,0,0.22414486921529175,0.4428,45639,0.06188569348380051,0.9381143065161995,0.19670504168320763,0.37495037713378326,0.25647216633132125,0.06773977196512408,0.17773306505700873,0.1847082494969819,0.15318578135479544,0.09188464118041582,0.034339369550637155,0.03393695506371563,0.4727028839704896,0.5272971160295103
17031010202,"Census Tract 102.02, Cook County, Illinois",0.3035220994475138,0.3363259668508287,0,0.053522099447513814,0,0.26001381215469616,0.4248,41486,0.05193661971830986,0.9480633802816901,0.20968547179231153,0.41937094358462307,0.20269337016574585,0.10566298342541436,0.1902624309392265,0.10497237569060773,0.09703038674033149,0.1685082872928177,0.09219613259668508,0.03867403314917127,0.5248618784530387,0.47513812154696133
17031010300,"Census Tract 103, Cook County, Illinois",0.4704703161141095,0.30763299922898996,9.252120277563608e-4,0.01017733230531997,0.001079414032382421,0.1694680030840401,0.4812,41250,0.03849886768036234,0.9615011323196376,0.10192307692307692,0.45346153846153847,0.14541249036237472,0.05273708558211257,0.1597532767925983,0.18226676946800308,0.14525828835774865,0.1299922898997687,0.10624518118735543,0.07833461835003855,0.5084040092521203,0.49159599074787974
17031010400,"Census Tract 104, Cook County, Illinois",0.6447343180510263,0.2117782466909649,0,0.04623057740264723,0,0.07519662382505275,0.4624,39700,0.05331991951710262,0.9466800804828974,0.03775009437523594,0.7040392600981502,0.10665643583349319,0.38519086898139265,0.1799347784385191,0.11854977939765969,0.07864953002110109,0.08133512372913869,0.03126798388643775,0.018415499712257817,0.521005179359294,0.4789948206407059
17031010501,"Census Tract 105.01, Cook County, Illinois",0.4636762554851292,0.3310580204778157,0,0.0568015602145295,0,0.09434422233057045,0.4486,39730,0.04844144903117102,0.951558550968829,0.03536880290205562,0.6212212817412334,0.11847879083373963,0.07508532423208192,0.31569965870307165,0.1635787420770356,0.15017064846416384,0.07142857142857142,0.04802535348610434,0.057532910775231594,0.5265724037055095,0.4734275962944905
17031010502,"Census Tract 105.02, Cook County, Illinois",0.5212042732275818,0.2165749433473616,0,0.08481709291032696,0,0.1505341534477177,0.4582,39388,0.03371501272264631,0.9662849872773537,0.0612987012987013,0.5890909090909091,0.15312398834574295,0.22369698931693105,0.21948850760764002,0.16056976367756556,0.130462932988022,0.05891874393007446,0.04014244091939139,0.013596633214632567,0.4755584331498867,0.5244415668501133
17031010503,"Census Tract 105.03, Cook County, Illinois",0.6666666666666666,0.14119601328903655,0,0.12458471760797342,0,0.029900332225913623,0.5692,18516,0.06232294617563739,0.9376770538243626,0.19063004846526657,0.4095315024232633,0.08084163898117387,0.2336655592469546,0.14673311184939092,0.04928017718715393,0.08250276854928018,0.07641196013289037,0.21650055370985605,0.11406423034330011,0.5559246954595792,0.4440753045404208
17031010600,"Census Tract 106, Cook County, Illinois",0.5215011727912432,0.1781078967943706,0,0.031899921813917126,0,0.2401876465989054,0.5101,50882,0.02386634844868735,0.9761336515513126,0.09655789003129191,0.5699597675458203,0.15168100078186084,0.1487099296325254,0.236278342455043,0.14636434714620797,0.14308053166536355,0.1016419077404222,0.04800625488663018,0.024237685691946835,0.4946051602814699,0.50539483971853
17031010701,"Census Tract 107.01, Cook County, Illinois",0.41132596685082873,0.2345303867403315,0,0.0856353591160221,0,0.2604972375690608,0.4545,60167,0.012566137566137565,0.9874338624338624,0.07344213649851632,0.5300445103857567,0.20911602209944752,0.04613259668508287,0.2292817679558011,0.16077348066298341,0.13066298342541435,0.12790055248618784,0.05441988950276243,0.041712707182320445,0.4930939226519337,0.5069060773480663
17031010702,"Census Tract 107.02, Cook County, Illinois",0.3219205037386856,0.31463990554899646,0,0.07103502558048012,0,0.2709563164108619,0.4219,44583,0.041766682669227076,0.9582333173307729,0.18254990341274951,0.47971667739858337,0.27371113734750097,0.11511216056670602,0.19342778433687524,0.15584415584415584,0.15781188508461236,0.08559622195985832,0.0059031877213695395,0.012593467138921684,0.4919323101141283,0.5080676898858717
17031020100,"Census Tract 201, Cook County, Illinois",0.31343283582089554,0.3333333333333333,0,0.0472636815920398,0,0.2584300718629077,0.4975,48841,0.061170212765957445,0.9388297872340425,0.1836734693877551,0.4323507180650038,0.18933112216694306,0.07932559425096739,0.15865118850193477,0.15865118850193477,0.1379215035931454,0.1370923161967938,0.07379767827529021,0.0652294085129906,0.4872857932559425,0.5127142067440575
17031020200,"Census Tract 202, Cook County, Illinois",0.48157894736842105,0.10394736842105264,0,0.1871345029239766,0,0.18216374269005847,0.451,94115,0.011599806669888834,0.9884001933301112,0.15932914046121593,0.5541579315164221,0.310233918128655,0.062134502923976605,0.11608187134502924,0.10774853801169591,0.17280701754385966,0.09809941520467837,0.0837719298245614,0.04912280701754386,0.5032163742690059,0.49678362573099416
17031020301,"Census Tract 203.01, Cook County, Illinois",0.75055720653789,0.036404160475482915,0.0020430906389301636,0.11069836552748885,0,0.07020802377414562,0.5001,56973,0.016722408026755852,0.9832775919732442,0.09607616849394114,0.6321407963069822,0.31463595839524516,0.041604754829123326,0.13224368499257058,0.09416790490341753,0.09175334323922733,0.07856612184249628,0.10345468053491827,0.14357355126300148,0.4860698365527489,0.5139301634472511
17031020302,"Census Tract 203.02, Cook County, Illinois",0.5832197780805918,0.0967490753357991,0,0.1317889818960483,0,0.13568230484718707,0.4727,77500,0.016222479721900347,0.9837775202780996,0.059638213680045224,0.5579423403052572,0.2696126143663617,0.041658555577185126,0.11855168386217636,0.15164492894685613,0.13256764648627603,0.12984232042047889,0.08214911426902861,0.07397313607163714,0.5310492505353319,0.4689507494646681
17031020400,"Census Tract 204, Cook County, Illinois",0.38562705495537813,0.23015500234852043,0,0.13010803193987788,0,0.20831376232973225,0.4412,65917,0.01253731343283582,0.9874626865671642,0.11096433289299867,0.5809114927344782,0.2510568341944575,0.03781117895725693,0.15875998121183654,0.14889619539689997,0.14584311883513387,0.11554720526068576,0.08994833255049318,0.052137153593236264,0.4948332550493189,0.505166744950681
17031020500,"Census Tract 205, Cook County, Illinois",0.1329889298892989,0.13284132841328414,0,0.4057564575645756,0,0.2521033210332103,0.4092,44926,0.07975167144221586,0.9202483285577842,0.3133572483646339,0.31483435323908,0.22981549815498156,0.07070110701107012,0.21284132841328413,0.14066420664206641,0.11896678966789669,0.09505535055350553,0.06258302583025831,0.06937269372693727,0.4962361623616236,0.5037638376383764
17031020601,"Census Tract 206.01, Cook County, Illinois",0.5647509578544061,0.05455938697318008,0.010114942528735632,0.27693486590038313,0,0.05210727969348659,0.5241,38177,0.07299642674834099,0.927003573251659,0.13058603157613058,0.4864864864864865,0.30973180076628354,0.11754789272030651,0.10329501915708812,0.11616858237547893,0.12704980842911878,0.09961685823754789,0.08,0.04659003831417625,0.5111111111111111,0.4888888888888889
17031020602,"Census Tract 206.02, Cook County, Illinois",0.3704092339979014,0.1311647429171039,0,0.22707240293809025,0,0.25246589716684154,0.4459,57045,0.050932568149210905,0.9490674318507891,0.15646017699115045,0.4913274336283186,0.32046169989506823,0.08667366211962224,0.14417628541448058,0.12990556138509968,0.08289611752360965,0.1099685204616999,0.08184679958027283,0.04407135362014691,0.516894018887723,0.48310598111227704
17031020701,"Census Tract 207.01, Cook County, Illinois",0.6599783080260304,0.04338394793926247,0,0.1648590021691974,0,0.11496746203904555,0.4323,97250,0.0310192023633678,0.9689807976366323,0.07863501483679525,0.5652818991097923,0.2131236442516269,0.055856832971800434,0.15292841648590022,0.1540130151843818,0.1052060737527115,0.1643167028199566,0.09761388286334056,0.056941431670282,0.5244034707158352,0.47559652928416485
17031020702,"Census Tract 207.02, Cook County, Illinois",0.36044249939217116,0.08485290542183321,0,0.2427668368587406,0,0.30087527352297594,0.4014,49167,0.04298831385642738,0.9570116861435726,0.23389301054275674,0.35064427957828975,0.31692195477753465,0.06041818623875517,0.1639922197909069,0.14381230245562848,0.07853148553367371,0.09080962800875274,0.10430342815463166,0.0412107950401167,0.512885971310479,0.48711402868952103
17031020801,"Census Tract 208.01, Cook County, Illinois",0.3708502024291498,0.030283400809716598,0,0.2874493927125506,0,0.24761133603238866,0.4091,54052,0.031179394487121554,0.9688206055128784,0.25524319500223114,0.39937527889335117,0.1774898785425101,0.09668016194331984,0.15303643724696356,0.16307692307692306,0.15303643724696356,0.12210526315789473,0.08161943319838057,0.05295546558704453,0.49376518218623483,0.5062348178137652
17031020802,"Census Tract 208.02, Cook County, Illinois",0.3275644264780192,0.0717534108135422,0.016927741283476502,0.34259727134916623,0,0.12342091965639211,0.4309,46219,0.11058315334773218,0.8894168466522678,0.2726406101048618,0.30428979980934223,0.25669530065689744,0.08072258716523496,0.1629610914603335,0.1571500757958565,0.10927235977766549,0.1629610914603335,0.037139969681657406,0.03309752400202122,0.497599797877716,0.502400202122284
